2. ,飲食店_メニュー情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,項目名,制約,説明,形式,桁数・文字数,入力例*1,参考ガイドライン等,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,メニューID,必須,メニューを一意に識別するためのID。,文字列,,ytg1112m3,,データセット内で重複が生じないように付番し、使い回しはしないようにする。（廃止したメニューのIDは廃番とする）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,店舗ID,必須,店舗を一意に識別するためのID。,文字列,,ytg1112,,"データセット内で重複が生じないように付番し、使い回しはしないようにする。（廃業等で無くなった店舗のIDは廃番とする）
IDを設計していない場合は店舗電話番号を用いる。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,メニュー_名称,必須,メニューの名称。,文字列,,牛頬肉の赤ワインソース煮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,メニュー_概要,推奨,メニューの概要。,文字列,,田舎風の昔ながらの方法で作った赤ワインソース煮です。マッシュポテトとソースを絡めてお召し上がりください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,メニュー_価格,推奨,メニューの価格。数値のみ入力する。（単位：円）,数値（整数）,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,メニュー_価格_区分,,"メニューの価格の消費税表示区分について、以下のいずれかの値を入力。不明の場合は空欄とする。
税別
税込",文字列,2文字,税別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,メニュー_画像,推奨,メニュー画像のURL。,文字列,,https://kitchenit-yokohama.jp/img/menu/000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,メニュー_タグ,推奨,店舗で提供するメニューのタグ。複数ある場合は、“;” （半角セミコロン）区切りで入力する。,文字列,,イタリアン;牛肉;煮込み料理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,メニュー_廃止フラグ,推奨,"メニューの提供状況について、以下のいずれかの値を記載（数字は半角）
廃止：1
提供中：0
不明：（空のまま）",数値（整数）,1桁,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,メニュー_登録日,推奨,店舗情報を一番最初に登録した日。,日付（YYYY-MM-DD）,,2020-05-25,"政府CIOポータル
> 標準ガイドライン
> 行政基本情報データ連携モデル
> 日付時刻
https://cio.go.jp/guides#renkeimodel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,メニュー_最終更新日,推奨,店舗情報の最終更新日。,日付（YYYY-MM-DD）,,2020-06-05,"政府CIOポータル
> 標準ガイドライン
> 行政基本情報データ連携モデル
> 日付時刻
https://cio.go.jp/guides#renkeimodel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,メニュー_補足,,店舗で提供するメニューについての補足情報。,文字列,,アルコールは飛ばしてあるのでお子様も安心してお召し上がり頂けます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*1) 入力例はダミーデータであり、実在しないメニュー情報。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
