標準産業分類コード,標準産業分類名,標準産業分類_中分類名,,,,,,,,,,,,,,,,,,,,,,,,
7600,主として管理事務を行う本社等,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7609,その他の管理，補助的経済活動を行う事業所,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7611,食堂，レストラン（専門料理店を除く）,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7621,日本料理店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7622,料亭,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7623,中華料理店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7624,ラーメン店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7625,焼肉店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7629,その他の専門料理店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7631,そば・うどん店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7641,すし店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7651,酒場，ビヤホール,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7661,バー，キャバレー，ナイトクラブ,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7671,喫茶店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7691,ハンバーガー店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7692,お好み焼・焼きそば・たこ焼店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7699,他に分類されない飲食店,飲食店,,,,,,,,,,,,,,,,,,,,,,,,
7700,主として管理事務を行う本社等,持ち帰り・配達飲食サービス業,,,,,,,,,,,,,,,,,,,,,,,,
7709,その他の管理，補助的経済活動を行う事業所,持ち帰り・配達飲食サービス業,,,,,,,,,,,,,,,,,,,,,,,,
7711,持ち帰り飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,,,,,,,,,,,,,,,,
7721,配達飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,,,,,,,,,,,,,,,,
